DC1-A;DC2-A;DC3-A;DC4-A;DC5-A;age;gender;academic_level
I493;0;0;0;0;-0.053764675;2;2;4
I494;0;0;-0.098882024;0;0;2;2;2
I495;0;0;0.017314127;0;0;2;1;4
I496;0;0.09196003;0;0;0;2;1;4
I497;0;0;0;-0.092580792;0;2;2;4
I498;0;0;0.059585255;0;0;2;1;4
I499;0;0;0;0;-0.101564821;2;1;3
I500;0;0;0;0;0.071431641;2;2;3
I501;0;0.077289709;0;0;0;2;1;3
I502;-0.079588792;0;0;0;0;2;2;4
I503;0;0.082885699;0;0;0;2;2;5
I504;0;0;0;0;-0.060069494;2;1;4
I505;0;0;0;-0.103889307;0;2;1;3
I506;0;0;0;0;-0.094363435;2;2;4
I507;0;0;0;0;-0.102656366;2;2;3
I508;0;0;0;0;-0.060702415;2;1;4
I509;-0.098075304;0;0;0;0;2;1;3
I510;0;0.091268176;0;0;0;2;2;4
I511;0;-0.084277021;0;0;0;2;2;2
I512;0;0;0;0;0.030179758;2;1;4
I513;-0.081714377;0;0;0;0;2;1;4
I514;-0.065934378;0;0;0;0;2;1;2
I515;0;0;-0.103577701;0;0;2;2;4
I516;0;0;0;0;0.079863084;2;1;3
I517;0;0;0.130128534;0;0;2;2;3
I518;0;0;0;0.033011029;0;2;2;4
I519;0;0.080794373;0;0;0;2;2;3
I520;0;0;0;0;-0.036895985;2;2;5
I521;0;0;-0.100943777;0;0;2;2;3
I522;0;0.124971185;0;0;0;2;2;1
I523;0;0;0;-0.087706011;0;2;1;4
I524;0;0;0;0.105753724;0;2;2;4
I525;0;0;-0.15964644;0;0;2;2;4
I526;0;0;-0.082579733;0;0;2;2;2
I527;0;0;0.099180204;0;0;2;1;2
I528;0;0.062765866;0;0;0;2;2;2
I529;0;0;0;0;-0.08678608;2;2;3
I530;0;0;0;-0.1191942;0;2;2;2
I531;0;-0.090082221;0;0;0;2;2;3
I532;0;0;0.089976557;0;0;2;2;3
I533;0.065443135;0;0;0;0;2;2;4
I534;0;0;-0.116548116;0;0;2;1;5
I535;0;0;0;0;0.042378757;2;1;3
I536;0;0;0;0.026023479;0;2;2;5
I537;0;0;0;0;-0.089752972;2;2;3
I538;-0.090308522;0;0;0;0;2;2;4
I539;0.105831986;0;0;0;0;2;1;4
I540;0;0;0;0;-0.080109496;2;2;5
I541;-0.007851828;0;0;0;0;2;2;2
I542;0;0;0;-0.079954145;0;2;2;4
I543;0;0;0;0;0.075577455;2;2;4
I544;0;0;-0.107391995;0;0;2;2;3
I545;0;-0.136508909;0;0;0;2;1;4
I546;0;0.089677179;0;0;0;2;1;3
I547;-0.094835003;0;0;0;0;2;1;3
I548;0;0;0;0;-0.030853316;2;2;3
I549;0;-0.09325193;0;0;0;2;2;3
I550;0;0;-0.091358298;0;0;2;2;3
I551;0;-0.106601115;0;0;0;2;2;4
I552;0;0;0;0;-0.063394525;2;2;4
I553;0;0;0;-0.060568643;0;2;2;4
I554;0;0;0;0;0.066216749;2;1;1
I555;0;0;0;0;-0.024850663;2;2;4
I556;0;0;0;0.038418693;0;2;2;3
I557;0;-0.100031221;0;0;0;2;1;3
I558;-0.099063459;0;0;0;0;2;2;3
I559;0;0;-0.075716682;0;0;2;2;3
I560;0;0;0.106973632;0;0;2;2;4
I561;0;0;0;0.034423127;0;2;2;3
I562;0;0;-0.035058229;0;0;2;1;5
I563;0;0.107497043;0;0;0;2;2;2
I564;0;0;0;0;-0.083073247;2;2;5
I565;0;0;0;0;-0.078635939;2;2;5
I566;0;0;0;0;-0.111942144;2;1;4
I567;-0.065414116;0;0;0;0;2;2;3
I568;0;0.094786543;0;0;0;2;1;4
I569;0;0.042639599;0;0;0;2;2;3
I570;0;0;0.02624291;0;0;2;2;3
I571;-0.101664152;0;0;0;0;2;2;3
I572;0;0;0;0.048802593;0;2;1;4
I573;0;-0.037927171;0;0;0;2;2;2
I574;-0.126367678;0;0;0;0;2;2;2
I575;0;0;0;-0.069336241;0;2;2;4
I576;0;0;0;0.114107567;0;2;2;4
I577;0;0;-0.116908139;0;0;2;2;4
I578;0;0;0;0;0.030170268;2;2;4
I579;0;0;0;0;-0.037629856;2;2;4
I580;0;0;-0.009031738;0;0;2;1;4
I581;0;0;0;0;0.062399824;2;2;5
I582;0;0;0;0;-0.075000895;2;2;5
I583;0;0;0.080129754;0;0;2;1;4
I584;-0.119900176;0;0;0;0;2;1;4
I585;0;-0.039087363;0;0;0;2;2;4
I586;0;0;0.078938916;0;0;2;1;4
I587;0;0;-0.072860213;0;0;2;2;4
I588;-0.0542271;0;0;0;0;2;2;4
